num_nodes_and_roles,scenario,elapsed_time,bytes_transferred
1,worst_case,1.9799593971774653e-05,268
2,worst_case,2.696841247879639e-05,420
3,worst_case,3.823369870411663e-05,572
4,worst_case,7.85156312673816e-05,724
5,worst_case,0.00016761380414036936,876
6,worst_case,0.00046904555374514476,1284
7,worst_case,0.001659069425910771,1436
8,worst_case,0.007806843354146803,1588
9,worst_case,0.02935938413704323,1740
10,worst_case,0.1245940656520399,1892
11,worst_case,0.6165460427609782,2044
12,worst_case,3.175581092480148,2196
13,worst_case,17.014886905060607,2348
14,worst_case,99.04287943446897,2500
10,best_case,0.00011265286224215743,1892
20,best_case,0.0003021144942323417,3412
30,best_case,0.0006991304905881179,5700
40,best_case,0.0009797385292955596,7220
50,best_case,0.0015153516834658376,8740
60,best_case,0.0020260446590185666,10260
70,best_case,0.003975280548303317,11780
80,best_case,0.00350896597304029,13300
90,best_case,0.0043337214736567375,17892
100,best_case,0.006311291264651686,19412
